date,title,description,url
2025-08-07T14:09:00+00:00,Krispy Kreme’s meme-stock ride is over. The stock is tumbling as losses widen.,The end of Krispy Kreme’s doughnut partnership with McDonald’s weighed on the company’s second-quarter results.,https://www.marketwatch.com/story/krispy-kremes-meme-stock-ride-is-over-the-stock-is-tumbling-as-losses-widen-a68341b2
2025-08-07T13:03:45+00:00,"American adds Budapest, Prague and Buenos Aires flights for summer 2026",American Airlines is reviving several routes it flew before the Covid-19 pandemic.,https://www.cnbc.com/2025/08/07/american-budapest-prague-buenos-aires-flights.html
2025-08-07T12:56:00+00:00,Trump calls for Intel’s CEO to go. Lawmakers have focused on his ties to China.,Intel’s stock is falling as Trump’s comments open the door for potentially more leadership drama at the chip giant.,https://www.marketwatch.com/story/trump-calls-for-intels-ceo-to-go-lawmakers-have-focused-on-his-ties-to-china-768390cc
2025-08-07T12:44:13+00:00,Jim Cramer's top 10 things to watch in the stock market Thursday,Shares of Apple were higher again Thursday after announcing more U.S. manufacturing commitments at the White House.,https://www.cnbc.com/2025/08/07/jim-cramers-top-10-things-to-watch-in-the-stock-market-thursday.html
2025-08-07T12:40:26+00:00,Warner Bros. Discovery film studios lift second-quarter results,"Warner Bros. Motion Pictures releases ""A Minecraft Movie,"" ""Sinners,"" ""Final Destination: Bloodlines,"" and ""F1,"" together generated over $2 billion so far.",https://www.cnbc.com/2025/08/07/warner-bros-discovery-film-studios-second-quarter-results.html
2025-08-07T12:40:00+00:00,BLS jobs report,,https://www.marketwatch.com/story/bls-jobs-report-cdc96da9
2025-08-07T12:40:00+00:00,"Still no sign of rising layoffs in jobless claims. U.S. has a low-hire, low-fire labor market.","New applications for unemployment benefits totaled 226,000 in early August",https://www.marketwatch.com/story/still-no-sign-of-rising-layoffs-in-jobless-claims-u-s-has-a-low-hire-low-fire-labor-market-20319685
2025-08-07T12:14:00+00:00,Moon exploration company Firefly’s IPO pricing shows investor demand keeps rising,Space exploration company Firefly Aerospace’s stock is set to begin trading on the Nasdaq under the ticker symbol “FLY” following its upsized IPO.,https://www.marketwatch.com/story/moon-exploration-company-fireflys-ipo-pricing-shows-investor-demand-keeps-rising-14ae123f
2025-08-07T12:00:01+00:00,Companies are monitoring and enforcing office attendance at the highest rate in 5 years,"Nearly three quarters of the 184 companies surveyed by CBRE said they have met their attendance goals, up from 61% last year.",https://www.cnbc.com/2025/08/07/companies-monitoring-enforcing-office-attendance.html
2025-08-07T11:45:00+00:00,Bank of England committee was so divided there were two votes on interest rates,"U.K. central bank had to hold two votes after a rare, initial 4-4-1 decision.",https://www.marketwatch.com/story/bank-of-england-committee-was-so-divided-there-were-two-votes-on-interest-rates-07c5e7ad
2025-08-07T11:40:00+00:00,Dividends rise when companies have confidence about earnings — but this is happening instead,This year’s record-setting pace of share buybacks is bearish.,https://www.marketwatch.com/story/dividends-rise-when-companies-have-confidence-about-earnings-but-this-is-happening-instead-c5ef7d9e
2025-08-07T11:01:00+00:00,"Eli Lilly’s oral weight-loss pill didn’t work so well, and the stock is plunging",Stock was heading for biggest one-day selloff in 26 years,https://www.marketwatch.com/story/pfizers-stock-set-for-worst-day-in-26-years-as-trial-data-from-oral-weight-loss-pill-disappoints-6dd9dda2
2025-08-07T11:00:13+00:00,Wall Street analyst Dan Ives brings his out-of-the-box fashion style to a new clothing line,The Wedbush Securities' global head of technology research on Thursday launches a unisex fashion line with brand Snow Milk.,https://www.cnbc.com/2025/08/07/dan-ives-fashion-clothing-line-wedbush-wall-street.html
2025-08-07T10:57:00+00:00,There are few assets hated like coal — why this dirty fuel may have a future,Is coal making a comeback? The stocks are cheap and demand demise predictions are coming down.,https://www.marketwatch.com/story/there-are-few-assets-hated-like-coal-why-this-dirty-fuel-may-have-a-future-451aa548
2025-08-07T10:54:18+00:00,"Eli Lilly hikes 2025 outlook, tops quarterly estimates as Mounjaro, Zepbound sales soar",Eli Lilly hiked its 2025 guidance and posted second-quarter earnings that topped estimates on strong demand for its blockbuster weight loss and diabetes drugs.,https://www.cnbc.com/2025/08/07/eli-lilly-lly-q2-2025-earnings-report.html
2025-08-07T10:12:00+00:00,Why this Bernie Sanders housing graphic is a chart crime — and what the real data shows,"Even by the data-twisting standards of politicians, Sen. Bernie Sanders’ take on the housing market hits new depths.",https://www.marketwatch.com/story/why-this-bernie-sanders-housing-graphic-is-a-chart-crime-and-what-the-real-data-shows-46fa1de3
2025-08-07T10:00:00+00:00,More people are late on both their mortgage and student-loan payments — another bad sign for the economy,The trends come at a time when the U.S. economy is showing signs of weakness.,https://www.marketwatch.com/story/more-people-are-late-on-both-their-mortgage-and-student-loan-payments-another-bad-sign-for-the-economy-d8fae485
